It   | J_t              | Best J_t         | Has Empty
    1| 18001.40016056   | 18001.40016056   |      
    2| 18007.83737570   |                  | True: [3]
    3| 18005.89024599   |                  |      
    4| 18005.76742925   |                  | True: [3, 6]
    5| 18007.96333746   |                  | True: [2, 4]
    6| 18014.97925552   |                  |      
    7| 18011.78307218   |                  |      
    8| 18012.06041978   |                  |      
    9| 18010.86235212   |                  |      
   10| 18010.82651880   |                  |      
   11| 18008.90354602   |                  |      
   12| 18004.59650780   |                  |      
   13| 18014.85635694   |                  | True: [0]
   14| 18004.82976028   |                  |      
   15| 18017.10820458   |                  |      
   16| 18005.96782549   |                  | True: [6]
   17| 18024.86124246   |                  | True: [6]
   18| 18004.12301408   |                  |      
   19| 18017.10040209   |                  | True: [3]
   20| 18003.82943996   |                  |      
   21| 18014.39371034   |                  | True: [6]
   22| 18006.79686813   |                  | True: [7]
   23| 18008.54484383   |                  |      
   24| 18012.66572163   |                  | True: [1]
   25| 18006.35444829   |                  | True: [6]
   26| 18012.98103311   |                  | True: [8]
   27| 18011.77831466   |                  |      
   28| 18009.29627560   |                  |      
   29| 18010.97301664   |                  | True: [1]
   30| 18012.65428594   |                  |      
   31| 18012.44887545   |                  | True: [2]
   32| 18021.41398241   |                  |      
   33| 18010.07635388   |                  |      
   34| 18024.95242801   |                  |      
   35| 18010.74788134   |                  |      
   36| 18010.72568163   |                  |      
   37| 18008.13752919   |                  | True: [5]
   38| 18018.93084030   |                  |      
   39| 18014.53169866   |                  | True: [2]
   40| 18014.70827642   |                  | True: [0]
   41| 18004.17164155   |                  | True: [2]
   42| 18014.39535410   |                  | True: [5]
   43| 18009.98358907   |                  |      
   44| 18006.87888526   |                  |      
   45| 18016.13524625   |                  |      
   46| 18015.01432155   |                  |      
   47| 18016.94828257   |                  |      
   48| 18015.52439438   |                  | True: [8]
   49| 18010.06047163   |                  |      
   50| 18017.15564759   |                  | True: [0]
   51| 18022.40858045   |                  | True: [2]
   52| 18005.24024468   |                  |      
   53| 18006.44472542   |                  | True: [0, 6, 7]
   54| 18012.64545539   |                  |      
   55| 18013.85324775   |                  |      
   56| 18032.46623208   |                  |      
   57| 18018.15416211   |                  | True: [7]
   58| 18012.01725958   |                  | True: [8]
   59| 18018.77451933   |                  |      
   60| 18012.17158748   |                  | True: [6]
   61| 18003.15039599   |                  | True: [9]
   62| 18020.31967578   |                  |      
   63| 18005.39205583   |                  | True: [9]
   64| 18013.41967184   |                  |      
   65| 18007.97790441   |                  | True: [5]
   66| 18002.91524787   |                  |      
   67| 18011.73207517   |                  | True: [0, 2]
   68| 18015.37265660   |                  |      
   69| 18009.22801120   |                  | True: [0]
   70| 18015.59309973   |                  |      
   71| 18006.38018597   |                  |      
   72| 18017.02283536   |                  |      
   73| 18015.03882354   |                  | True: [7]
   74| 18014.54412772   |                  |      
   75| 18008.77692019   |                  |      
   76| 18001.47230942   |                  | True: [2]
   77| 18013.43514683   |                  |      
   78| 18009.05266186   |                  |      
   79| 18010.55505107   |                  | True: [5]
   80| 18009.74888229   |                  |      
   81| 18015.14510630   |                  | True: [1]
   82| 18016.79511941   |                  |      
   83| 18004.03950186   |                  |      
   84| 18013.11381984   |                  |      
   85| 18011.00905306   |                  |      
   86| 18008.24184202   |                  |      
   87| 18011.15323885   |                  |      
   88| 18014.39522117   |                  | True: [0]
   89| 18008.86442227   |                  |      
   90| 18004.54451658   |                  |      
   91| 18010.90615689   |                  |      
   92| 18003.97886099   |                  | True: [1]
   93| 18012.60176934   |                  |      
   94| 18020.92799097   |                  |      
   95| 18003.62723199   |                  |      
   96| 18001.03685175   | 18001.03685175   |      
   97| 18014.73472344   |                  |      
   98| 18010.74788134   |                  |      
   99| 18008.43395180   |                  |      
  100| 18015.00780731   |                  |      
Fuzzy algorithm 100x:  446.922523 seconds.
Adjusted Rand Score: 0.26895550564066856
Best iteration (from 100): 96
Last Adequacy:  18001.03685174535
