It   | J_t              | Best J_t         | Has Empty
    1| 18015.48868791   |                  | True: [2]
    2| 18010.20415296   | 18010.20415296   |      
    3| 18016.81495670   |                  | True: [9]
    4| 18019.81245171   |                  |      
    5| 18005.18042182   | 18005.18042182   |      
    6| 18010.97570542   |                  |      
    7| 18013.53747534   |                  |      
    8| 18014.51397076   |                  |      
    9| 18001.36122435   |                  | True: [5]
   10| 18007.21036014   |                  |      
   11| 18007.56255466   |                  | True: [9]
   12| 18010.01352820   |                  | True: [2]
   13| 18008.28561338   |                  |      
   14| 18019.72539601   |                  | True: [7]
   15| 18004.51515846   | 18004.51515846   |      
   16| 18010.13374134   |                  |      
   17| 18026.26814284   |                  | True: [7]
   18| 18008.47568271   |                  |      
   19| 18017.31827067   |                  |      
   20| 18009.35109222   |                  | True: [5]
   21| 18012.51009489   |                  |      
   22| 18007.69905608   |                  |      
   23| 18021.77022969   |                  |      
   24| 18009.54092115   |                  |      
   25| 18012.27054116   |                  | True: [5]
   26| 18014.43169821   |                  |      
   27| 18010.28436768   |                  |      
   28| 18010.33917029   |                  | True: [8]
   29| 18002.98433601   | 18002.98433601   |      
   30| 18005.78197876   |                  | True: [8]
   31| 18004.50769210   |                  |      
   32| 18002.98712924   |                  | True: [8]
   33| 18009.71391752   |                  | True: [2]
   34| 18020.77048169   |                  |      
   35| 18015.46805079   |                  |      
   36| 18018.85398444   |                  |      
   37| 18018.47614338   |                  | True: [7]
   38| 18005.32413033   |                  |      
   39| 18027.09349889   |                  |      
   40| 18003.97886099   |                  | True: [1]
   41| 18009.28502974   |                  |      
   42| 18016.73941181   |                  | True: [1, 5]
   43| 18006.17817664   |                  |      
   44| 18005.92836817   |                  | True: [8, 9]
   45| 18004.02330833   |                  | True: [4, 8]
   46| 17999.65559983   | 17999.65559983   |      
   47| 18013.18704252   |                  | True: [8]
   48| 18005.07336450   |                  | True: [3, 7]
   49| 18018.09815485   |                  | True: [5]
   50| 18024.67903721   |                  | True: [1]
   51| 18005.68154765   |                  | True: [7]
   52| 18003.77311996   |                  |      
   53| 18002.29899114   |                  | True: [7]
   54| 18013.56305042   |                  | True: [2, 3]
   55| 18006.91799521   |                  | True: [9]
   56| 18007.72150273   |                  |      
   57| 18029.02592668   |                  |      
   58| 18008.62884956   |                  |      
   59| 18011.60650001   |                  | True: [8]
   60| 17999.90432897   |                  |      
   61| 18008.50266063   |                  |      
   62| 18011.52241104   |                  |      
   63| 18009.29794554   |                  |      
   64| 18006.35217903   |                  | True: [0]
   65| 18007.19444951   |                  | True: [9]
   66| 18012.23166010   |                  | True: [9]
   67| 18007.43838468   |                  |      
   68| 18011.69093679   |                  |      
   69| 18015.31693875   |                  | True: [5]
   70| 18014.70002596   |                  | True: [4]
   71| 18011.36054758   |                  | True: [9]
   72| 18019.91772097   |                  |      
   73| 18012.97743990   |                  |      
   74| 18016.09828421   |                  | True: [2]
   75| 18007.19810056   |                  | True: [0, 9]
   76| 18013.37916019   |                  |      
   77| 18015.38253993   |                  |      
   78| 18019.61764853   |                  |      
   79| 18009.39500877   |                  |      
   80| 18010.30442501   |                  |      
   81| 18016.70793146   |                  | True: [6]
   82| 18014.40345079   |                  |      
   83| 18007.87033079   |                  |      
   84| 18006.77287798   |                  |      
   85| 18007.22857164   |                  |      
   86| 18010.20415296   |                  |      
   87| 18005.06382280   |                  |      
   88| 18012.75321647   |                  |      
   89| 18008.93007027   |                  | True: [9]
   90| 18005.67066331   |                  | True: [8]
   91| 18016.40457265   |                  |      
   92| 18018.15545645   |                  |      
   93| 18002.38852085   |                  | True: [1, 3, 8]
   94| 18015.65270581   |                  |      
   95| 18015.64695841   |                  |      
   96| 18009.40722814   |                  |      
   97| 18006.55446043   |                  |      
   98| 18015.99095012   |                  | True: [3]
   99| 18002.77294781   |                  |      
  100| 18011.75522123   |                  |      
Fuzzy algorithm 100x:  452.154208 seconds.
Adjusted Rand Score: 0.2949180492625781
Best iteration (from 100): 46
Last Adequacy:  17999.655599825863
